ratio,commits
0.0,11847
0.01,46000
0.02,89150
0.03,137057
0.04,190883
0.05,237230
0.06,258785
0.07,273125
0.08,299601
0.09,315191
0.1,315670
0.11,304365
0.12,286893
0.13,290036
0.14,263873
0.15,249926
0.16,234007
0.17,222301
0.18,207498
0.19,202693
0.2,190555
0.21,178689
0.22,164527
0.23,157289
0.24,143950
0.25,135435
0.26,128712
0.27,120157
0.28,115925
0.29,104006
0.3,100603
0.31,96923
0.32,90532
0.33,83133
0.34,83017
0.35,77371
0.36,73164
0.37,66351
0.38,65399
0.39,60693
0.4,56270
0.41,52666
0.42,54475
0.43,44376
0.44,42217
0.45,39677
0.46,37970
0.47,34390
0.48,31144
0.49,28391
0.5,32020
0.51,24021
0.52,23459
0.53,21666
0.54,20366
0.55,18806
0.56,17189
0.57,16568
0.58,15024
0.59,13657
0.6,12359
0.61,12103
0.62,10675
0.63,10852
0.64,9739
0.65,9132
0.66,8181
0.67,7400
0.68,7111
0.69,6727
0.7,6495
0.71,5798
0.72,5857
0.73,4862
0.74,4687
0.75,4480
0.76,3976
0.77,3751
0.78,3982
0.79,3791
0.8,3365
0.81,3087
0.82,3186
0.83,2966
0.84,2843
0.85,2736
0.86,2340
0.87,2236
0.88,2341
0.89,2368
0.9,2170
0.91,2062
0.92,1950
0.93,1963
0.94,1836
0.95,1660
0.96,1749
0.97,1763
0.98,1508
0.99,1506
1.0,1146
1.01,1317
1.02,1498
1.03,1260
1.04,1176
1.05,1250
1.06,1218
1.07,1100
1.08,1025
1.09,1053
1.1,998
1.11,880
1.12,864
1.13,932
1.14,802
1.15,776
1.16,745
1.17,739
1.18,722
1.19,718
1.2,667
1.21,697
1.22,701
1.23,617
1.24,609
1.25,650
1.26,608
1.27,606
1.28,614
1.29,592
1.3,583
1.31,577
1.32,504
1.33,488
1.34,515
1.35,456
1.36,491
1.37,466
1.38,454
1.39,446
1.4,368
1.41,399
1.42,397
1.43,412
1.44,328
1.45,370
1.46,364
1.47,353
1.48,372
1.49,355
1.5,365
1.51,344
1.52,324
1.53,277
1.54,314
1.55,290
1.56,260
1.57,283
1.58,256
1.59,246
1.6,238
1.61,242
1.62,238
1.63,225
1.64,241
1.65,205
1.66,234
1.67,211
1.68,208
1.69,186
1.7,215
1.71,213
1.72,188
1.73,236
1.74,188
1.75,205
1.76,180
1.77,194
1.78,187
1.79,176
1.8,173
1.81,173
1.82,168
1.83,159
1.84,176
1.85,184
1.86,177
1.87,150
1.88,140
1.89,163
1.9,136
1.91,143
1.92,149
1.93,126
1.94,171
1.95,128
1.96,144
1.97,120
1.98,124
1.99,127
2.0,109
2.01,154
2.02,137
2.03,119
2.04,117
2.05,113
2.06,122
2.07,101
2.08,106
2.09,130
2.1,109
2.11,91
2.12,94
2.13,111
2.14,111
2.15,92
2.16,93
2.17,83
2.18,94
2.19,116
2.2,90
2.21,110
2.22,107
2.23,93
2.24,79
2.25,81
2.26,67
2.27,81
2.28,78
2.29,84
2.3,59
2.31,67
2.32,85
2.33,68
2.34,65
2.35,91
2.36,72
2.37,78
2.38,69
2.39,84
2.4,60
2.41,77
2.42,66
2.43,62
2.44,69
2.45,61
2.46,71
2.47,58
2.48,57
2.49,66
2.5,80
2.51,60
2.52,64
2.53,53
2.54,56
2.55,64
2.56,42
2.57,60
2.58,48
2.59,56
2.6,47
2.61,44
2.62,42
2.63,52
2.64,69
2.65,51
2.66,61
2.67,35
2.68,45
2.69,48
2.7,51
2.71,51
2.72,42
2.73,29
2.74,53
2.75,45
2.76,35
2.77,34
2.78,29
2.79,36
2.8,45
2.81,53
2.82,45
2.83,42
2.84,40
2.85,30
2.86,29
2.87,43
2.88,31
2.89,30
2.9,31
2.91,40
2.92,46
2.93,42
2.94,42
2.95,23
2.96,41
2.97,32
2.98,27
2.99,25
3.0,20
3.01,37
3.02,23
3.03,27
3.04,25
3.05,23
3.06,31
3.07,37
3.08,25
3.09,32
3.1,24
3.11,22
3.12,21
3.13,34
3.14,34
3.15,24
3.16,29
3.17,29
3.18,29
3.19,31
3.2,25
3.21,30
3.22,18
3.23,19
3.24,25
3.25,25
3.26,11
3.27,19
3.28,23
3.29,20
3.3,37
3.31,21
3.32,17
3.33,36
3.34,28
3.35,22
3.36,17
3.37,16
3.38,20
3.39,26
3.4,9
3.41,12
3.42,18
3.43,17
3.44,12
3.45,14
3.46,17
3.47,13
3.48,19
3.49,12
3.5,18
3.51,15
3.52,17
3.53,16
3.54,15
3.55,12
3.56,19
3.57,23
3.58,16
3.59,17
3.6,16
3.61,19
3.62,16
3.63,17
3.64,19
3.65,14
3.66,21
3.67,9
3.68,14
3.69,15
3.7,9
3.71,12
3.72,21
3.73,19
3.74,14
3.75,14
3.76,7
3.77,13
3.78,17
3.79,18
3.8,20
3.81,15
3.82,8
3.83,11
3.84,12
3.85,12
3.86,13
3.87,6
3.88,9
3.89,11
3.9,6
3.91,19
3.92,9
3.93,14
3.94,13
3.95,14
3.96,12
3.97,16
3.98,20
3.99,8
4.0,6
4.01,12
4.02,9
4.03,10
4.04,9
4.05,14
