words,commits
1,30702
2,27879
3,62589
4,87234
5,255100
6,93115
7,135572
8,119312
9,114450
10,150782
11,200668
12,234396
13,164438
14,170844
15,165548
16,177001
17,185532
18,184158
19,181182
20,175864
21,174298
22,162267
23,154856
24,146991
25,141071
26,132825
27,127058
28,121776
29,119420
30,113422
31,106830
32,105164
33,97744
34,95209
35,89000
36,84599
37,81752
38,78113
39,74489
40,73210
41,69361
42,65419
43,63480
44,61283
45,57890
46,56018
47,57649
48,51992
49,49697
50,47984
51,45611
52,44248
53,42941
54,41305
55,40977
56,39797
57,38609
58,36428
59,35845
60,34713
61,34091
62,31900
63,32032
64,31096
65,28925
66,27667
67,26773
68,25418
69,24785
70,24044
71,23163
72,22522
73,22680
74,22109
75,20983
76,20477
77,19718
78,18957
79,18499
80,17729
81,17294
82,17031
83,16056
84,15799
85,15353
86,15147
87,14645
88,14066
89,14178
90,13530
91,13238
92,12759
93,12635
94,12235
95,11838
96,11614
97,11289
98,11349
99,10924
100,10630
101,10168
102,10058
103,9840
104,9500
105,9057
106,8974
107,8745
108,8544
109,8700
110,8286
111,8097
112,7851
113,7546
114,7378
115,7257
116,7150
117,7076
118,6950
119,6783
120,6533
121,6237
122,6107
123,6168
124,6185
125,6033
126,5853
127,5861
128,5353
129,5518
130,5373
131,5390
132,5151
133,4968
134,4893
135,4801
136,4889
137,4665
138,4587
139,4484
140,4198
141,4247
142,4193
143,4243
144,3967
145,3999
146,3884
147,3835
148,3685
149,3762
150,3740
151,3621
152,3601
153,3459
154,3514
155,3527
156,3523
157,3366
158,3142
159,3144
160,3171
161,2943
162,2938
163,2906
164,2940
165,2836
166,2718
167,2649
168,2651
169,2753
170,2587
171,2614
172,2571
173,2410
174,2383
175,2269
176,2335
177,2328
178,2266
179,2148
180,2117
181,2106
182,2104
183,2091
184,2005
185,1956
186,1856
187,1858
188,1936
189,1849
190,1755
191,1832
192,1754
193,1851
194,1703
195,1710
196,1670
197,1659
198,1543
199,1583
200,1627
201,1594
202,1496
203,1482
204,1462
205,1520
206,1362
207,1377
208,1409
209,1336
210,1396
211,1418
212,1303
213,1281
214,1318
215,1187
216,1254
217,1238
218,1231
219,1246
220,1189
221,1143
222,1201
223,1115
224,1106
225,1156
226,1058
227,1110
228,1004
229,1078
230,1093
231,1010
232,1119
233,956
234,945
235,958
236,1003
237,973
238,901
239,927
240,913
241,914
242,817
243,906
244,864
245,852
246,830
247,884
248,805
249,838
250,745
251,889
252,793
253,788
254,816
255,783
256,784
257,750
258,747
259,678
260,721
261,764
262,713
263,736
264,740
265,735
266,687
267,674
268,693
269,640
270,676
271,577
272,644
273,665
274,606
275,650
276,636
277,608
278,556
279,638
280,591
281,559
282,561
283,537
284,537
285,577
286,516
287,546
288,551
289,553
290,544
291,512
292,564
293,464
294,491
295,494
296,495
297,549
298,473
299,490
300,475
301,446
302,477
303,468
304,489
305,474
306,461
307,468
308,475
309,415
310,458
311,416
312,429
313,427
314,391
315,390
316,389
317,398
318,435
319,453
320,398
321,379
322,411
323,425
324,402
325,334
326,356
327,358
328,377
329,353
330,337
331,331
332,345
333,374
334,357
335,349
336,345
337,351
338,342
339,350
340,343
341,320
342,318
343,351
344,363
345,368
346,305
347,288
348,305
349,329
350,298
351,298
352,330
353,316
354,299
355,309
356,279
357,260
358,271
359,263
360,243
361,276
362,283
363,268
364,254
365,271
366,252
367,239
368,236
369,247
370,268
371,200
372,233
373,251
374,244
375,218
376,218
377,255
378,259
379,260
380,231
381,226
382,235
383,216
384,248
385,268
386,279
387,234
388,188
389,221
390,213
391,221
392,215
393,179
394,222
395,188
396,229
397,230
398,186
399,201
400,230
401,205
402,201
403,205
404,203
405,212
406,189
407,185
408,198
409,197
410,203
411,189
412,191
413,183
414,226
415,217
416,177
417,194
418,198
419,177
420,158
421,178
422,163
423,203
424,167
425,172
426,168
427,174
428,154
429,155
430,143
431,183
432,183
433,199
434,168
435,185
436,183
437,148
438,154
439,176
440,156
441,121
442,184
443,154
444,153
445,170
446,155
447,167
448,166
449,157
450,140
451,143
452,140
453,144
454,155
455,153
456,141
457,174
458,120
459,140
460,142
461,131
462,140
463,131
464,144
465,134
466,123
467,125
468,138
469,160
470,125
471,129
472,205
473,132
474,124
475,120
476,127
477,153
478,123
479,121
480,95
481,134
482,117
483,127
484,118
485,114
486,132
487,111
488,124
489,119
490,110
491,113
492,104
493,96
494,95
495,108
496,116
497,103
498,116
499,106
500,107
501,103
502,102
503,113
504,105
505,136
506,119
507,118
508,117
509,107
510,110
511,102
512,103
513,82
514,91
515,98
516,95
517,93
518,90
519,83
520,90
521,69
522,101
523,95
524,103
525,99
526,84
527,86
528,94
529,124
530,107
531,102
532,93
533,89
534,78
535,83
536,87
537,80
538,87
539,80
540,80
541,86
542,75
543,79
544,83
545,82
546,85
547,78
548,121
549,69
550,59
551,72
552,87
553,76
554,78
555,89
556,82
557,84
558,71
559,81
560,69
561,67
562,88
563,72
564,68
565,88
566,74
567,76
568,64
569,122
570,72
571,84
572,58
573,89
574,90
575,62
576,93
577,93
578,79
579,68
580,72
581,72
582,71
583,65
584,54
585,81
586,94
587,74
588,65
589,67
590,67
591,81
592,56
593,69
594,53
595,72
596,61
597,64
598,68
599,63
600,55
601,58
602,65
603,63
604,75
605,58
606,64
607,69
608,61
609,51
610,60
611,69
612,66
613,62
614,50
615,57
616,63
617,61
618,71
619,59
620,60
621,59
622,60
623,48
624,67
625,76
626,45
627,56
628,60
629,56
630,50
631,51
632,58
633,62
634,54
635,49
636,62
637,76
638,52
639,62
640,43
641,46
642,57
643,70
644,48
645,40
646,47
647,149
648,41
649,54
650,59
651,59
652,54
653,63
654,49
655,59
656,45
657,118
658,57
659,52
660,53
661,48
662,45
663,51
664,54
665,52
666,56
667,139
668,43
669,51
670,65
671,48
672,53
673,48
674,50
675,49
676,50
677,99
678,56
679,46
680,50
681,52
682,50
683,43
684,48
685,62
686,40
687,51
688,40
689,35
690,46
691,48
692,40
693,38
694,45
695,51
696,46
697,41
698,43
699,43
700,45
701,27
702,41
703,30
704,44
705,48
706,40
707,47
708,50
709,33
710,35
711,30
712,27
713,33
714,30
715,39
716,53
717,33
718,38
719,35
720,34
721,42
722,33
723,33
724,45
725,41
726,49
727,38
728,35
729,34
730,36
731,32
732,40
733,33
734,26
735,29
736,32
737,29
738,31
739,34
740,29
741,35
742,33
743,24
744,49
745,23
746,40
747,32
748,32
749,42
750,37
751,30
752,33
753,38
754,39
755,28
756,32
757,39
758,34
759,35
760,34
761,35
762,33
763,35
764,31
765,33
766,39
767,36
768,45
769,37
770,31
771,34
772,26
773,34
774,28
775,31
776,28
777,21
778,29
779,32
780,26
781,27
782,19
783,29
