subject,appearance
Updating submodules,6612
SVN_SILENT made messages (.desktop file) - always resolve ours,5270
Translated using Weblate (German),4063
Translated using Weblate (French),3497
Publish,2996
Update translation files,2790
Translated using Weblate (Spanish),2464
WebCore:,2198
Translated using Weblate (Russian),2135
Imported Translations from Zanata,2125
[skip hazardlib],1982
Merge branch '2.7' into 2.8,1887
Translated using Weblate (Italian),1853
Translated using Weblate (Portuguese (Brazil)),1697
Translated using Weblate (Japanese),1558
Squashed commit of the following:,1518
Translated using Weblate (Chinese (Simplified)),1515
bump atc,1486
Translated using Weblate (Dutch),1422
[skip CI],1350
Translated using Weblate (Hungarian),1345
Translated using Weblate (Polish),1335
Update README.md,1329
Translated using Weblate (Norwegian Bokmål),1284
Update ReleaseNotes.md,1193
Merge branch '4.4',1180
Translated using Weblate (Portuguese),1138
Translated using Weblate (Turkish),1116
LayoutTests:,1094
Translated using Weblate (Czech),1063
Translated using Weblate (Ukrainian),1025
Translated using Weblate (Chinese (Traditional)),962
Update git submodules,925
Translated using Weblate (Catalan),923
        Reviewed by Darin.,863
Updated Spanish translation.,809
Imported Translations from Transifex,797
Merge branch '3.4',774
Merge branch '2.8',772
Translated using Weblate (Swedish),766
Merge branch 'maint',734
Merge branch '4.3' into 4.4,728
Merge branch '3.3' into 3.4,716
Translated using Weblate (Korean),713
Merge branch '2.6' into 2.7,696
Merge branch 'master' into 'master',694
Translated using Weblate (Arabic),669
Merge remote-tracking branch 'origin/master',668
JavaScriptCore:,662
Merged from master,659
Merge branch '4.4' into 5.0,652
Merge branch '3.4' into 4.0,645
Updated changelog [skip CI],644
Merge branch '2.7',635
SVN_SILENT made messages (.desktop file),624
Translated using Weblate (Finnish),624
chore(release): Publish,618
Translated using Weblate (Hebrew),600
Cleanup,594
Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/net,586
Merge branch '2.8' into 3.0,586
Roll recipe dependencies (trivial).,573
Updating XTBs based on .GRDs from branch master,570
Merge branch '5.0',566
        Reviewed by Maciej.,548
Merge branch '3.2',545
Update DevTools DEPS.,543
Merge branch '2.3' into 2.4,534
Translated using Weblate (Galician),524
Merge branch '4.1',521
Merge branch 'stable-2.14' into stable-2.15,521
Bump lodash from 4.17.15 to 4.17.19,519
Merge branch '2.3' into 2.7,517
Merge branch 'master' of github.com:materialsproject/pymatgen,516
Translated using Weblate (Danish),508
[skip hazardlib][demos],504
Translated using Weblate (Basque),501
Merge branch 'stable-2.16' into stable-3.0,495
Merge branch '4.0',495
l10n: Updated Chinese (China) (zh_CN) translation to 100%,488
l10n: Updated Korean (ko) translation to 100%,464
Translated using Weblate (Slovak),457
Translated using Weblate (Esperanto),445
Location fix,424
Merge branch '3.0',423
Translated using Weblate (Indonesian),413
Roll Chrome Mac PGO Profile,413
Translated using Weblate (Bulgarian),409
Roll Chrome Linux PGO Profile,409
Update docker-library images,407
l10n: Updated Dutch (Flemish) (nl) translation to 100%,407
Merge branch 'master' into next,405
Apply suggestions from code review,403
Merge branch '3.1',402
.,396
Translated using Weblate (Marathi),396
Merge branch 'master' into develop,394
Update docs,392
Merge branch '3.4' into 4.3,384
Merge remote-tracking branch 'upstream/master',384
        Reviewed by Darin Adler.,380
SVN_MERGE,376
Translated using Weblate (Croatian),374
Merge branch 'stable-2.15' into stable-2.16,372
Merge branch '2.4',371
Translated using Weblate (Albanian),371
Merge branch '4.2',365
NoRef,363
Merge branch '3.4' into 4.1,363
[TASK] Update references in documentation,350
Updated Norwegian bokmål translation.,347
build: Updating npm dependencies,339
Merge branch '2.8' into 3.4,336
Translated using Weblate (Slovenian),335
Roll Chrome Win64 PGO Profile,330
Merge branch '5.1',329
Merge branch '2.8' into 3.1,329
Merge branch 'develop',324
branches/zip:,322
l10n: Updated Portuguese (pt) translation to 100%,320
Merge branch '2.8' into 3.2,318
