repo_name,commit,message,Is_Core_Refactor,Is_Refactor,Justification,Certain,Comment,Sampling
kjambunathan/org-mode-ox-odt,00142f4edf35c6ff28528f8a1772aff6ac27bbfc,"lisp/org.el (org-set-tags): Simplify further

* lisp/org.el (org-set-tags): Use let* for c0 p0 c1 rpl di tc;
Restructure so that no check on c0 is needed; Don't return a useless
tags var from cond; Change and into an equivalent when.
",TRUE,TRUE,"simplify, restucture",,,12_may_2021_mp_not_refactor_commits
TimothyGu/libilbc,e84978f3d8612e7e482791552b94e0847967d3ba,"Add a Config parameter to AudioProcessing::Create().

Also add a parameter-less version; the (int) version is deprecated and
should be removed.

TBR=aluebs,bjornv
BUG=2844

Review URL: https://webrtc-codereview.appspot.com/7609004

git-svn-id: 917f5d3ca488f358c4d40eaec14422cf392ccec9@5431 4adac7df-926f-26a2-2b94-8c16560cd09d
",TRUE,FALSE,deprecated and should be removed,,,12_may_2021_mp_not_refactor_commits
linux-test-project/ltp,6d1110bfc9eccf375d26b22e8ae0338cdfb27563,"numa_helper: code cleanup

Fix the coding style warning.

Signed-off-by: Wanlong Gao <209b351814c2aa2d43085ca51a9830225b84821b@cn.fujitsu.com>
",TRUE,TRUE,cleanup,,,12_may_2021_mp_not_refactor_commits
linq2db/linq2db,d5c0c1e16eefe98c33737b1d515b410271c497e7,"Release 2.0 RC0 (#1141)

* Working on Travis build.

* Working on Travis build.

* Implemented TRUNCATE TABLE.

* Revert ""Updated nugets.""

This reverts commit 670f3f3ed2f3b16d5bac811ed2c27cdf2d04faf9.

# Conflicts:
#        Tests/Base/Tests.Base.csproj
#        Tests/IBM.Core/Tests.IBM.Core.csproj
#        Tests/Linq/Tests.csproj

* added ActiveIssue attribute to ignore tests for known defects

* Issue #975 with invalid materialization (#977)

merging test-only PRs

* Added test for issue #975.

* mark tests with ActiveIssue attribute

* Issue with merge and Cross Join in source query (#896)

merging PRs with tests

* add issue tests

* updated tests and assigned ActiveIssue attribute

* Tests for issue #873 (#876)

merging test-only PRs

* Added tests for issue #873 

* Added missed file.

* add ActiveIssue attribute

* Test for #792 (#807)

merging test-only PRs

* test

* fix core build

* add ActiveIssue attribute

* Issue #577 (left joins parsing fails) (#600)

merging tests

* test reproducing #577

* added ActiveIssue attribute

* fix #1027 - fix compilation

* Debugging travis issue, do not merge (#1028)

fixed travis tests

* Formatting.

* Generate debug info in release.

* Disable warning.

* Fixed Informix DataProvider according to new tests.

* Fix minor typo on CONTRIBUTING.md (#1031)

Thanks!

* Added experimental calculated columns.

* Fix #986 + typed source projections support (#1033)

* fix #986 + typed source projections support

* add more source projection tests

* refactorings

* fixed cross-join/select-many merge sources + extra test for existing issue

* fix couple of tests and remove debug call

* validate that OnTargetKey called for table with primary key columns

* avoid binary literals in merge source

* Added ComparerBuilder.

* Formatting.

* Use ComparerBuilder.

* Working on Calculated Columns.

* fix #1030

* fix join tests failure when no runnable providers configured

* better join tests workaround from nunit team

* fix miniprofiler example

* spaces...

* Update README.md

* Corrected InheritanceMapping transformation.

* update readme with recent changes

* Corrected changes for Issue #1026 (#1045)

* implementation without tests

* fixes and a test method

* Corrected formatting. Added new unit tests.

* Unified parameter order. Corrected tests.

* Corrected tests.

* update release notes, enable new tests for all providers

* Added missed MySql's Schema procedures definition. (#993)

* Added missed MySql's Schema procedures definition.

* - added tests and fixed schema provider to pass them

- added xml docs to schema classes

* rewrited procedure schema load to raw queries for MySql, as MySql provider's implementation unusable due to a lot of bugs and doesn't behave consistently between different server versions

* Update README.md

* Formatting and refactoring.

* Working on Calculated Columns.

* Deleted unused code.

* Updated CalculatedColumn test.

* Moved Merge extension to the root namespace.

* Enabled options.KeepIdentity parameter for many DataProviders. (#1037)

* Enabled options.KeepIdentity parameter for many DataProviders.

* Reverted changes for providers. And corrected enforceKeepIdentity flag usage.

* tests

* add exception when KeepIdentity=true is not supported (initial work)

* working on tests

* fixed DB2 test and SAP HANA provider

* SQL CE support

* Firebird fixes

* ""fix"" Oracle tests

* fix tests for postgres

* fix incorrect Keepidentity value in test

* remove enforceKeepIdentity parameter

* Fixed data corruption while getting stored procedure schema parameters.

* Fix execute cmd outside of script folder (done right) (#1055)

* Fix calling Compile.cmd out of root folder

* remove comment from Compile.cmd
add scriptpath variable to build

* Fix for CTE ""with""

* Revert ""Fix for CTE ""with""""

This reverts commit 718dc116369dc113861d2ed5926f383dc7c01374.

* simplify cmd, replace env. var credit: @MaceWindu

* Fixed Sybase exception while getting database schema.

* Formatting.

* Update README.md

Corrected link to templates.

* Fixed Sybase merge tests.

* Fixed Sybase merge tests.

* Fixed merge tests.

* Merge source formatting.

* [skip ci] add recent changes to release notes

* bugfix - derived classes could not be loaded by base class type

* bugfix - bugfix inheritance queries, or query for base types is not possible

* feature - include column name in exceptions in datareader

* we could not map a inheritance to a abstract class

* Reuse aggregate metadata reader to support cases when reader was copied

* fix component mapping - fixes 1005

* Fix Component Mapping Tests so they check for correct results

* update nuget packages to use contentFiles meta

dropped linq2db.t4models (unneded)
updated NuGet.exe

* tests and fixes

* fix formatting and fix for sybase call in transaction

* Metadatareader -> use array

* Test for query via Base Type

* allow casts in loadwith

* - skip exception for AssociatedTableContext -> because a entity may not exist
- loadwith support for derived classes childs (fixes #994)

* fixes Problems with Insert, Update and Delete when using Inheritance (fixes #1017)

* Fixed tests.

* support for mapping enums as strings in string columns. (maybe later this should be configurable per column)

* a custom converter for a type should have a higher priority than the enum mapping

* support custom converters for enum types

* Implemented automatic INNER Join to LEFT Join converter for Firebird. (#1000)

* Implemented automatic INNER Join to LEFT Join converter for Firebird.

* update release notes and fix implementation

* Revert changes to linq2db and move fix to a test

* formatting

* fix build

* Dynamic columns. Fix #744, fix #507 (#1073)

* [WIP] Dynamic columns (#964)

* Dynamic columns support in (fluent) metadata.

* Dynamic column support in querying.

* Support for materialization of dynamic columns.

* Dynamic columns in update and insert.

* Clean-up.

* Cleanup 2.

* Cleanup 3.

* merge manually

* update readme, fix update regression

* fix update and work on failing tests

* fix unstable tests

* fixed merge API to return proper interface after On()

* possibility to modify entityDescriptor

* Change Invocation of Callback

* bugfix create of entity descriptor

* bugfix #1057

* Fix Test 1057

* Remove accidental commited code

This reverts commit ba63c30d655551f48dd7ed5323f33432fe21a7e2.

* update relase notes and small code style/documentation fixes

* spelling fix

* Added support for InnerJoin, LeftJoin, RightJoin, FullJoin and CrossJoin using linq syntax.

* update realease notes with latest changes

* update release notes

* Added test that reproduces issue #1057 (#1059)

Merging test-only PR

* Added test that reproduces issue.

* mark test with ActiveIssue

* update implementation to reflect recent changes, update release notes

* add alias support for insert target

* bugfix exception handling

* fix not-needed generation of identity-related queries for mysql, postresql and oracle

* bugfix enum converter usage

* complex tests

* fix #1057

* remove active issue so test is run

* #1092

* [ci skip] doc

* try to fix #1057

* add issue test

* update release notes with latest changes

* Added test and some fixes for Dynamic columns.

* update tests and fix issue

* update release notes

* Corrected tests for issue #1057.

* fix missing update query visitor

* revert unrelated changes

* [ci skip] update release notes

* implementation and tests

* Added possibility to use dynamic columns in queries without required storage.

* Added PrimaryKey attribute for test tables.

* Changed obsolete enumeration value ConvertType.NameToOwner to ConvertType.NameToSchema.

* Added possibility to instantiate objects in queries that works with interfaces.

* Restored original formatting.

* Bugfix for #1107

* Test for fix #1107

* One more fix with empty hour for SqlServer

* work on bulkcopy test with non-null data

* test passing

* fix enum column error in tests

* remove line

* bugfix linq2db for firebird -> reserved words

* bugfix #1110

* test for #1110

* Added a way to create ExpressionQueryImpl instance.

* Added callback for intercepting queries exactly before execution. (#1116)

Added callback for intercepting queries exactly before execution.

* update release notes

* Fixed problems with joining to grouping queries.

* release notes

* Formatting.

* Fixed AddConnection method.

* Fixed DB2 test.

* [WIP] Fail AppVeyor build on test failure (#1118)

* make tests fail

* try to fix

* remove test code

* fix tests

* Fix schema read for ACE Access databases (#1119)

* test and fix

* update release notes

* I said update release notes!

* improve test

* try to add ACE provider install  to appveyor build

* fix appveryor.yaml

* try again

* and again

* Update README.md

* Added possibility to handle third party query provider for common extensions.

* Added missed extensions. Formatting.

* add comment

* update release notes

* Added INotifyEntityCreated.

* Implemented EntityChanged as a callback.

* update release notes

* nuget packages fixes

* nuget magic

* Working on EntityChanged.

* Formatting & refactoring.

* [ci skip] update release notes

* Working on failing tests (#1120)

* fix test failing for mysql < 5.6.4

* - fix firebird identifier quotation logic

- implemented exception-free drop table for firebird
- fix firebird test issues

* Proposal for Fix GetCteTable (#1056)

* Fix GetCteTable

* improve coding guidelines

* check if fields are empty

* fix merge and update release notes

* Add identifiers quotation for informix

* revert recent quoted identifiers support commit. must be implemented properly

* merge

* Bugfix #1128

* trigger appveyor

* only read inherited when parameter is true

* fix fluent metadata reader

* Bugfix FLuentMappingBuilder

* Change Fluent Mapping builder again

* change test for 1128, this worked before

* Complexer Test for 1128

* Make Test2 fail

* fix test, so it should work with old code

* change QueryRunner to old behavior

* cleanup

* cleanup

* cleanup

* Update README.md

* Added OnTraceConnection property for tracing DataContext's connection.

* working on fluent inheritance

* Working on CreateTempTable.

* fix overzealous use of UseEnumValueNameForStringColumns

* add more tests

* fix test mappings

* enable verbose build

* wrong level or tool?

* yeah, sure

* one more time

* cleanup

configuration for tests

* LocalTable changes for firebird https://stackoverflow.com/questions/44353607

* Use anonymous type as a setter.

(cherry picked from commit 2d219064f27cdadb5cc4f5d6634331b144e649cb)

* changes revert

* using dotnet instead of cake

* Use anonymous type as a setter.

* revert

* [WIP] Fix Travis build (#1132)

* enable verbose build

* wrong level or tool?

* yeah, sure

* one more time

* using dotnet instead of cake

* revert

* bugfix when inheritance is used #1128 (#1127)

* Bugfix #1128

* trigger appveyor

* only read inherited when parameter is true

* fix fluent metadata reader

* Bugfix FLuentMappingBuilder

* Change Fluent Mapping builder again

* change test for 1128, this worked before

* Complexer Test for 1128

* Make Test2 fail

* fix test, so it should work with old code

* change QueryRunner to old behavior

* cleanup

* cleanup

* cleanup

* working on fluent inheritance

* fix overzealous use of UseEnumValueNameForStringColumns

* add more tests

* fix test mappings

* cleanup

configuration for tests

* LocalTable changes for firebird https://stackoverflow.com/questions/44353607

* changes revert

* release notes update, nuget version update

* restore oracle identifier quotation, update reserved words list for oracle (11g level) and firebird (3.0 level)

* restore oracle identifier quotation, update reserved words list for oracle (11g level) and firebird (3.0 level) (#1133)

* update version for RC release

* hide CTE and CreateTempTable features

* fix typo

* Delete Microsoft.Bcl.

* readme typo

* unmask temp table API

* nitpicking

* bugfix sqlserver bulkkcopy with retry, fixes #1135

* move release notes to wiki
",TRUE,TRUE,refactorings,,,12_may_2021_mp_not_refactor_commits
chromium/chromium,54c27c14aa381c57f9c8688a8ed9b8c71e4331e2,"[UBsan] Remove V8 suppressions

V8 is mostly UBsan clean and should run well with Chromium fuzzers.

TBR=thakis@chromium.org

Bug: 853202
Change-Id: I6c4426b9054cab576de13a6146b1a8a6eca73380
Reviewed-on: https://chromium-review.googlesource.com/c/1466523
Commit-Queue: Michael Achenbach <76cc7f10de6bc994d83c4cb09072e4590b82b709@chromium.org>
Reviewed-by: Abhishek Arya <792883c4eebc3b69fa15b94e87456cf2c566c202@chromium.org>
Reviewed-by: Max Moroz <7465c088b62f7909f9ac3a7eee06426935053877@chromium.org>
Reviewed-by: Jakob Kummerow <ab90319419412717b4fe739c88d6ec478f206567@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#632542}",TRUE,FALSE,mostly clean,,,12_may_2021_mp_not_refactor_commits
dslutz/qemu,425f0b7adb8773d6989abcf3cb19bf0bcab9e07e,"spapr: Clean up RMA size calculation

Move the calculation of the Real Mode Area (RMA) size into a helper
function.  While we're there clean it up and correct it in a few ways:
  * Add comments making it clearer where the various constraints come from
  * Remove a pointless check that the RMA fits within Node 0 (we've just
    clamped it so that it does)

Signed-off-by: David Gibson <aa743a0aaec8f7d7a1f01442503957f4d7a2d634@gibson.dropbear.id.au>
Reviewed-by: Greg Kurz <cc878073a22fe20c2ded9f6f326476101ddf4b25@kaod.org>
Reviewed-by: Philippe Mathieu-Daudé <142ddd6924e3062369bb7844b15fbd82760d3bac@redhat.com>
",TRUE,TRUE,clean up,,,12_may_2021_mp_not_refactor_commits
chromium/crashpad,e8650f4729ef236fc7acfc7811eda0f3b2b613b1,"Update googletest to ec44c6c1675c25b9827aacd08c02433cccde7780

30846f31c5e5 Fix typo in googlemock/README.md
a7964a3fbd41 Implement GetThreadCount for AIX
bf7e9e8c2bb3 Add include of sys/types.h
554ca00ff706 Update DevGuide.md
c81cf6b7efde Update .travis.yml
58b543535a57 Update .travis.yml
231af5ddc81a Try to use clang-3.6 in travis
c76f9e0cdd49 Update .travis.yml
e8193fe6e064 Adding llvm toolchain repo
b8f9b2b540d9 Update clang version
bbbc025d2e84 More docs in travis config
6705b9adeabc Override clang++ name on Linux only
4a0b77ff7253 Create CMakeLists.txt
98d988deac06 Add CMake install rules for gtest libraries and headers
c4c23548a19a Merge pull request #614 from DukeXar/master
884dd08d73d7 Merge pull request #628 from fjunqueira/patch-1
93c37d59b013 Merge pull request #632 from nocnokneo/add-cmake-install-
             rules
f44190f2c432 Fix missing-field-initializers GCC/Clang warning (issue
             433)
ffce1a857856 Merge pull request #633 from plopresti/master
3aef7d7ddd3a Update README URLs based on HTTP redirects
83b93eac3b2b Update FAQ.md
25409abfe7a3 Fixing some table error in file
ccd0f94e8217 Merge pull request #592 from Ferenc-/master
96bba4d5c1e9 Merge pull request #638 from KindDragon/patch-1
3c3a4ac2c2fa Merge pull request #640 from Ali-Se/patch-2
6fe019e6b73e Merge pull request #607 from google/BillyDonahue-patch-1
2f93e2d8085e Merge pull request #636 from ReadmeCritic/master
16b9bbc3efb1 Fix AdvancedGuide link in FAQ.md
1f8fe13618a5 Merge pull request #647 from mithro/patch-1
7c8ac4886a7a Added CMake install rules for GMock
ebd1d0887cdb Fix link to FAQ in Primer.md
35fb11efbe1a Merge pull request #654 from cmorse/doc_fix
f601ee162e23 Add include dirs to targets if CMake version supports it
a470862dbe80 fixed link in googlemock documentation
57b376a9cb8b Merge pull request #660 from waynix/FixLinks
c1cd9c2b05d5 Merge pull request #650 from jpuigcerver/master
0162ff72e80e Merge pull request #657 from
             audiofanatic/issue655-targetHeaderDeps
ddb8012eb48b Merge pull request #602 from mtbrandy/threadcount_aix
ac35fe735984 Update GTEST_PROJECT_URL_ in internal/gtest-port.h
13206d6f53aa Merge pull request #670 from dawikur/master
d8df1fb4884c Add link to Google Test Primer docs in README.md
d404af0d987a add python 3 support to tests
456fc2b5c4e9 add python 3 support to fuse_gtest_files script
82b11b8cfcca Merge pull request #678 from pjaytycy/master
340c6b337518 Add tmux and tmux-256color to the colored terminal list
a9b73f8139a9 Merge pull request #699 from achimnol/master
ff5ffd457e03 Merge pull request #688 from tamland/python3
f364e188372e Change error message of EXPECT_EQ to treat lhs and rhs
             equivalently
b648a3072161 Add build artifacts to git ignore
d4aa34b05d72 Fix link that's returned when running tests. #714
f5acf22268d6 Merge pull request #716 from jacob-
             meacham/feature/gitignore
5909d44d348f Merge pull request #715 from jacob-meacham/bugfix/expect-
             call
77d6b1733803 Merge pull request #713 from DarthGandalf/expect
83d3b47acf8a Fix formatting in AdvancedGuide.md
ff07a5de0e81 Merge pull request #719 from paul-
             wilkinson/docs_formatting_fix
d6790f26cae2 Read Bazel's $XML_OUTPUT_FILE environment variable
12b2f23e8e6b Fix inconsistent style
5db9cbbc2332 Restructure $XML_OUTPUT_FILE logic
6991f422b65a Fix env_var_test to ignore XML_OUTPUT_FILE if already set
d23cf2b15701 Restructure test so each scenario is independent
62700bdf5689 Fixed typo ('XCode' -> 'Xcode')
f7248d80eae1 Merge pull request #731 from mattrajca/patch-1
0098be394ad5 Fix typo (Inovke -> Invoke)
eba179631078 Merge pull request #735 from phad/patch-1
72416fab75f0 Merge pull request #724 from duggelz/master
207147495c80 Fix whitespace in paragraph
d225acc90bc3 Merge pull request #741 from mbinna/patch-1
2746b57f78a0 Changed the GTestDir marco value to reflect the new dir of
             googletest
01f3d09f9f6c Updated the value of GTEST_DIR to reflect the googletest
             dir
5bae126d663e Added VS 2015 project support
0a439623f75c Merge pull request #773 from mazong1123/master
e35015f53904 fix to operator precedence in GTEST_TEST_BOOLEAN_ with
             expressions that implement operator bool
2489c3074748 Fix to tests that return object which implement operator
             bool
faee7d1fbcf1 Merge pull request #808 from djmott/master
ce7ec96edab7 Rollback change #808
10799abad25a Merge pull request #810 from google/rollback_808
43c0ae337536 Support running MSVC build on AppVeyour
81345850725f Merge pull request #723 from KindDragon/master
e51026e5d15e Add Appveyor badge to Readme.md
d406cb18c3d7 Merge pull request #814 from google/BillyDonahue-patch-2
531bf5c41071 Fixed issue #775
dc2dbf1fbf1d Reformatted the Unprintable operator== code style
ec44c6c1675c Merge pull request #821 from mazong1123/master

Change-Id: I40169adab6ea260334089b08bf4a51d4a65d6e08
Reviewed-on: https://chromium-review.googlesource.com/368680
Reviewed-by: Scott Graham <e134406e1863f3b48b0795831afac5c0595efb36@chromium.org>
",TRUE,TRUE,reformatted,,,12_may_2021_mp_not_refactor_commits
OpenGamma/Strata,780b5598b3a915342c8a9726d14c6bf9dd231b1d,"SABR calibration sensitivity to data (#986)

* SABR sensitivity to data. First part.

* Store sensitivity to data in Surface metadata in SurfaceInfo.

* Cleaned code and doc.
",TRUE,TRUE,cleaned code,,,12_may_2021_mp_not_refactor_commits
metaborg/strategoxt,c34ce2415b660ac98611bb3dfa173428d3eefa2f,"XTC3 
----

Import of the XTC experimental package (the implementation of a new
XTC component framework for my thesis).

Features
--------

* New component repository structure 
  - Supports remote repositories (XTService)
* Extensive use of component meta-information 
  - Specification in XTD (Transformation Tool Definition) files 
* Transparent component dispatch 
  - Supports alternative component models
  - Uses configuration templates (for argument substitutions)
* Contract support
* Configuration specialisation (inheritance)

Notes
-----

* Adding XTC3 package 
  - Configure with '--enable-xtc3' to use this XTC library 
  - Added extra configure flag '--with-curl' (location of curl); used
    by the XTC dispatcher
  - Sources of the /strc subpackage are bootstrapped against the XTC
    library in /xtc. building Stratego/XT - with XTC3 enabled - thus 
    requires a clean install (using separate compilation in /strc
    should solve this)
* Library API is compatible with existing XTC library in /xtc
* Compatibility issues: 
  - Arguments passed to 'xtc-transform' and equivalent strategies used
    to be a list of strings. the new XTC framework requires explicit 
    coupling of key/value pair arguments (by putting them in a tuple).    
  - The extensively used 'pass-verbose' strategy  does not adhere to 
    this requirement and can not be overloaded by XTC3 because of
    separate compilation issues. Solution: dispatch checks for
    argument-list elements produced by 'pass-verbose' and merges them.
  - The XTD (transformation tool definition) extension of the xtc tool 
    isn't used yet, requires adjustments to Makefiles. Thus, all tools 
    in Stratego/XT are registered with default meta-information values.
  - The library supports loading of legacy repository files. When these 
    files are altered (for example registration of extra components or
    references) by the XTC3 library, their structure changes. These
    files are then no longer compatible with the existing XTC library 
    in /xtc!
* The dispatcher supports local execution, XT model, http dispatch 
  and the new xtservice model (remote repository and service provider)
  - XTService sources are available in the recently updated stratego-net 
    package

svn path=/trunk/StrategoXT/; revision=8313
",FALSE,FALSE,not sure why was selected,,,12_may_2021_mp_not_refactor_commits
tprrt/linux-stable,089786553723cc134ab584ecd9e19986181e04ff,"Staging: hv: vmbus.h coding style cleanups

Coding style fixes for vmbus.h

Cc: Hank Janssen <e6f1dacc1d794bd13c3a15bd13b25100c5d4d1f8@microsoft.com>
Signed-off-by: Greg Kroah-Hartman <4645f7897fd33786a2ee1264d590b3c400559d85@suse.de>
",TRUE,FALSE,style cleanups,,,12_may_2021_mp_not_refactor_commits
