repo_name,commit,subject,message_without_subject,multiple_parents,Is_Summary,Is_Generic,Category,Comment,Certain,Labler,Sampling,distance,administrative_pred
ManageIQ/manageiq-ui-classic,d4e55e13ecab82ecab57648c4b081433ea58d0e5,Merge pull request #10593 from durandom/refactor_generic_button_test,"

refactor generic_feature_button spec(transferred from ManageIQ/manageiq@89496a3422b2937652ae8c32ab7ce84fab6a6356)
",True,,,,,,,comsum_random_batch_12_july_2021,-1,False
jikamens/send-later,77fd9da04e9b694ee4134b6530e700b2cc96e2f5,"Remove rather than disable ""Put in Outbox"" and ""Send Now"" buttons","

When we don't want the user to accidentally click the ""Put in Outbox""
button because ""Send"" rather than ""Send Later"" was used to activate
the dialog, hide the button completely rather than just disabling it.

Similarly, when we don't want the user to accidentally click the ""Send
Now"" button because ""Send Later"" was used to activate the dialog, hide
it completely rather than just disabling it.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
elogind/elogind,ccad78e82eb9ee47bda89f662318f4cbed53b904,"logind: save/restore User object's ""stopping"" field during restarts","

Whether we are stopping or not is highly relevant, hence don't forget it
across restarts.

(cherry picked from commit d865bc024bf28c17120d7322a81e9a99997a59f6)
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
IRT-Open-Source/scf,2347ba3545b4c7d1b9ddb87d759d368a68ce6eff,UPDATE TESTS,"

- Some requirements from the modules EBU-TT2EBU-TT-D and
  EBU-TT-D2EBU-TT-D-Basic-DE have been missing tests although
  the feature was already implemented.

- New Test Files have been provided by Peter tho Pesch.

- Requirement documents needed to be updated for the same modules.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
vinriviere/m68k-atari-mint-binutils-gdb,3903d4379d19d936333bf889f64545a90363b31b,2004-02-10  Andrew Cagney  <cagney@redhat.com>,"

	* mips-tdep.c (mips_gdbarch_init): Delete deprecated frame code.
	(mips_init_frame_pc_first): Delete function.
	(mips_frame_saved_pc): Delete function.
	(mips_frame_chain): Delete function.
	(mips_init_extra_frame_info): Delete function.
	(mips_xfer_register): Delete unused variable ""reg"".
	(mips_n32n64_push_dummy_call): Delete unused variable ""valbuf"".
	(mips_n32n64_return_value): Delete unused variable ""reg"".
	(mips_n32n64_return_value): Delete unused variable ""pos"".
	(mips_o32_push_dummy_call): Delete unused variable ""valbuf"".
	(mips_o32_return_value): Delete unused variable ""pos"".
	(mips_o64_push_dummy_call): Delete unused variable ""valbuf"".
	(mips_print_fp_register): Delete unused variable ""namelen""
	(mips_print_fp_register): Delete unused variable ""flt2""
	(get_frame_pointer): Delete function.
	(cached_proc_desc): Delete static variable.
	(mips_pop_frame): Delete function.
	(mips_find_saved_regs): Delete function.
	(mips_get_saved_register): Delete function.
	(mips_saved_pc_after_call): Delete function.
	(SIGFRAME_BASE): Delete macro.
	(SIGFRAME_FPREGSAVE_OFF): Delete macro.
	(SIGFRAME_PC_OFF): Delete macro.
	(SIGFRAME_REGSAVE_OFF): Delete macro.
	(mips_dump_tdep): Do not print deleted macro definitions.
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
ganeti/ganeti,86a4a62556e1000aac16be47ce317e83d4f8c39f,Use the generic query field test for network QA,"

Instead of just using sporadic 'gnt-network list' commands,
use the more exhaustive generic query test functions for
list and list-fields.

Signed-off-by: Helga Velroyen <2d0126b1ec6f9ec5cbec4a7012aa14faeaef10f5@google.com>
Reviewed-by: Hrvoje Ribicic <be5828fca31f89218048bec4189e30a581aa65da@google.com>
",False,,,,,,,comsum_random_batch_12_july_2021,142,False
marian-nmt/marian-train,00d2e999e3c24c9e8c836e800b3720bbe4a326a1,Add support for compiling on Mac (and clang) (#598),"

* Compile marian on mac and clang. Two linker errors left

* MacOS defines has a different definition for unsigned long

* Find OpenBLAS on mac

* Fix a typo in the BLAS detection

* Simplify and add comments

* Refactor cpu allocation code. Do not fallback to malloc

* Fix compilation warning on gcc

* Refactor memory allocation

* Make things compile with clang-8 with fewer warnings.

* Eliminate clang warnings when compiling examples and when compiling without MKL

* added USE_MKL option to compile without MKL for debugging even when MKL is installed

* fixed issues with compiling examples with clang

* Fix compile errors with clang in src/tests.

* Fix missing whitespace in error message in src/tests/sqlite.cpp.

* Responding to Frank Seide's code review.

* Eliminate clang warnings when compiling with -DUSE_FBGEMM=on.

* Fix compilation on gcc 8

* Get Marian to compile with Clang-10.

* Fix Clang-8 warnings when compiling with marian-server

* Add more comments and explicit unsigned long long for windows

* Pull in fbgemm that supports mac

* Fix warning flags order in CMakeLists.txt

Co-authored-by: Kenneth Heafield <ef9f2ea463fed8231f9c833f6c2177de388daf20@users.noreply.github.com>
Co-authored-by: Ulrich Germann <6c79b909acf96a89d4387e7c4d8d6b35dfeef224@gmail.com>
Co-authored-by: Roman Grundkiewicz <549fe1f8d04b8a39c8cc5e495ad47646ad141aea@amu.edu.pl>
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
oppia/oppia,b53b0fe49c5e8637a11123a9ee07cd139f6ae978,Fix part of #2863: Create front-end fallback domain object (#3207),"

* FallbackObjectFactory

* Undefined tobackenddict fallback

* Lint

* Remove undefined, bugs exist

* add fallbacks to front-end tests

* Renamings

* separate createNew from createFromBackendDict

* Fix

* Renaming in AnswerGroupObjectFactory

* More renaming in AnswerGroupObjectFactory

* Missed renaming

* Missed renaming

* Lint
",False,,,,,,,comsum_random_batch_12_july_2021,-1,False
chromium/chromium,729f73e0f788609cc991bbb8210a0a7f5a8d3381,Indexed DB: store/index keyPath property should return same instance,"

On IDBObjectStore and IDBIndex instances, the keyPath property says is
defined in the spec with: ""if this attribute returns an object
(specifically an Array), it returns the same object instance every
time it is inspected"". Web platform tests for this were missing.

Since the property is 'any' in Web IDL (since it could be a string or
Array) it can't use the [SameObject] extended attribute. And in the
Blink IDL, it can't use the [SaveSameObject] hint since that requires
[SameObject]. Instead, use the [CachedAttribute] hint and never dirty
the cache.

Bug: 977048
Change-Id: Ic4ede31a3a01e7a8a90c4f54eb8a989a673fcf22
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/1674495
Commit-Queue: Daniel Murphy <09effb99faf82be8b407cb6d51949b7f26a628db@chromium.org>
Reviewed-by: Daniel Murphy <09effb99faf82be8b407cb6d51949b7f26a628db@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#672137}
",False,,,,,,,comsum_random_batch_12_july_2021,571,False
tprrt/linux-stable,8876016bb384044a59c1e2ddcad4cf41b06344b9,ACPICA: Remove global lock handler on AcpiTerminate.,"

Added AcpiEvRemoveGlobalLockHandler

Signed-off-by: Alexey Starikovskiy <382bb4749d2aa361992b48e59d0a71acb3e5043b@intel.com>
Signed-off-by: Len Brown <b060cfa1096cc6e8be83699ddb4ed8a77dd63af5@intel.com>
",False,,,,,,,comsum_random_batch_12_july_2021,39,False
