repo_name,commit,message,Is_Core_Adaptive,Is_Adaptive,Justification,Certain,Comment,Sampling
kennethreitz/pipenv,02fc52b8da7dc76d429504864704d59ea29426fb,"Leverage pip to access installed packages

- Use `get_installed_distributions` from pip
- This cascades to `pkg_resources.working_set` which relies on
  `sys.path` to uncover packages
- Consequently I implemented `temp_path()` as a contextmanager in the
  style of `temp_environ()`
- This requires us to know the environment's `sys.path`, so
  `load_path(python)` will do a `json.dumps` of `sys.path` to stdout
  which then gets loaded and returned
- Allows us to avoid trying to hack around `pip freeze` output to parse
  out names from comments etc
- Provides other potential uses

Signed-off-by: Dan Ryan <2591e5f46f28d303f9dc027d475a5c60d8dea17a@danryan.co>
",TRUE,TRUE,implemented,,,12_may_2021_mp_not_adaptive_commits_batch_1
KDE/libkscreen,e020fe7235aabdf9898b0269f3156905c392decf,"Refactor the backend loading code

Untangle the large plugin loading logic in the BackendManager static
into  separate bits. This makes the code clearer and easier to auto-test.

- listBackends() compiles a list of backends from the plugin paths
- preferredBackend() picks the backend, in this priority:
	- if KSCREEN_BACKEND is set in the environment, this is the only
	  used method to find the backend plugin
	- if platform is X11, the XRandR backend is picked
        - if platform is wayland, KWayland backend is picked
        - if neither is the case, QScreen backend is picked

It does introduce a slight behavioral change: The mechanism was based on
falling through, so it would consider another backend if the logically
picked on fails to load. This is undesired behavior, however, since the
backendloader may be able to load the plugin, but that doesn't mean that
the plugin actually work.

Parsing of the KSCREEN_BACKEND variable is kept case-insensitive.
",TRUE,FALSE,introduce,FALSE,part of refactor,12_may_2021_mp_not_adaptive_commits_batch_1
wireapp/wire-ios,e36223c86f7b400a59375543edccb6919dfca56e,"ZIOS-9870: iPad - Impossible to register with email from settings (#2010)

* Switched default flag for displaying landing page

* removed staging flag

* Displaying landing page by default only if there are no active accounts

* Disabled email verification when going back from TermsOfUse view controller

* Fixed layout of TermsOfUseViewController
",TRUE,TRUE,removed,,,12_may_2021_mp_not_adaptive_commits_batch_1
WoltLab/WCF,ce16b422386fcafb0516396018aa713167b3602e,"Fix calculation of nextExec of cronjobs

To properly calculate nextExec we must not specify the TIME_NOW parameter,
because if the cronjob is run on the scheduled time the nextExec() will
return the current time.

Not passing the TIME_NOW parameter adds at least 120 seconds of delay to
prevent this issue.

This bug was introduced in commit 485f8e1888824b862823de983e019afcb9bca7ce.
When moving the update of the execution time the calls were not correctly
moved and the explicit passing of TIME_NOW was added.
",TRUE,FALSE,"fix calculation, bug was introduced",,,12_may_2021_mp_not_adaptive_commits_batch_1
gnuradio/volk,e1d13224afaa25edefaeb1d883fcfd8d7a2a670b,"volk: adding copyright notice to all volk kernels.

Note I just set these all to 2014, though some kernels are from earlier. We'd need to go through the history to know for certain.
",TRUE,FALSE,adding copyright,,,12_may_2021_mp_not_adaptive_commits_batch_1
coreboot/coreboot,c7e5d798420bb00f2c1853ca6abc11a7ee027886,"exynos5250: add missing address-of operator in UART driver

This adds a missing address-of operator. This was a subtle bug that
didn't seem to cause problems at first since the serial console
appeared to work. However it caused an imprecise external abort which
became apparent later on when aborts were unmasked in the kernel via
the CPSR_A bit.

(credit goes to Gabe Black for finding this)
Signed-off-by: Gabe Black <5c8aa1266c03186393d9e7b3b4e3b14239af8201@chromium.org>
Signed-off-by: David Hendricks <3b0deacc4b5357f519084f1ea34bd42bf5d34545@chromium.org>
Change-Id: I80a33b147d92d559fa8fefbe7d5642235deb9aea
Reviewed-on: http://review.coreboot.org/3038
Tested-by: build bot (Jenkins)
Reviewed-by: Ronald G. Minnich <f569d0af9a3481c4007b95c7180d6c41009f2513@gmail.com>
",TRUE,FALSE,add missing,,the is a bug fix,12_may_2021_mp_not_adaptive_commits_batch_1
enhavo/EnhavoAppBundle,4cbd7476bb586518ee5a9d310bcf9609aa63721e,"Sliderbugfixes (#908)

* fix [SliderBundle] Can't create Slider without code #904

* fix [Vue warn]: Error in render: ""Entry with name ""create-action"" does not exist in registry""

* fix [SliderBundle] Can't add Slide to Slider #906",TRUE,FALSE,"can't add, can't create",,,12_may_2021_mp_not_adaptive_commits_batch_1
MarkUsProject/Markus,516b30a68a7a53302b35dded06426e23fbe0f7e2,"Merge branch 'master' of https://github.com/MarkUsProject/Markus

* 'master' of https://github.com/MarkUsProject/Markus:
  - updated the functional test for refreshing assignment stat caching to be more resilient - improved the comments for the test to aid future developers
  - added more descriptive comments to the functional caching test - removed assignment_stat_test which is not necessary
  - added functional test for grade distribution caching
  - changed AssignmentStats to AssignmentStat - fixed everything that broke due to this
  - changed the refresh function to refresh_grade_distribution - removed unnecessary fixture
  -added caching for assignment statistics (just grade distribution for now)
",TRUE,TRUE,added caching,,,12_may_2021_mp_not_adaptive_commits_batch_1
tensorflow/probability,7c687b245b34397c13563a714ad9bf0290b419e3,"sharded_jit cleanup (#3075)

* Add sharding utilities to xla_bridge
* Change partitions argument to in_parts and out_parts
* Add unit tests
* Reuse more pxla functionality
* Remove stale translation rule
* Fail on non-TPU platforms
* Add docstring
* And more!",TRUE,TRUE,add unit tests,,,12_may_2021_mp_not_adaptive_commits_batch_1
rakudo/rakudo,70453688ec3a1dfa9e7c0ff287601a481b4b996a,"[distro]

Fix svn properties on newly added file.
It's ok to do this when the file is added. =-)



git-svn-id: ebc29296f9ec9cd27706eb0497c26fede0e190b2@27754 d31e2699-5ff4-0310-a27c-f18f2fbe73fe
",TRUE,FALSE,when the file is added,,,12_may_2021_mp_not_adaptive_commits_batch_1
nwjs/chromium.src,817eacca2fb088900fd92165fe0ab8877da095ab,"Web Audio: add warning about autoplay policy coming back in M70.

Bug: 848507
Change-Id: I33f2a8d55bd63b294ac8cd0144ff362eea588093
Reviewed-on: https://chromium-review.googlesource.com/1081613
Commit-Queue: Mounir Lamouri <819781fbd87cc666157c6af562f895bbac1cef59@chromium.org>
Reviewed-by: François Beaufort <d46131b785c18589d75c23b23c31a0369522c6f9@gmail.com>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#563756}",TRUE,FALSE,add warning,,,12_may_2021_mp_not_adaptive_commits_batch_1
chromium/chromium,29f7ac0a99a7096e4acfaefc8e1f19e57c756d4a,"[iOS] Wait until the view controller is presented before dismiss

Chrome can be started with the 2 following events:
+ Open the sign-in upgrade promo
+ Open an URL (from an external app)

The opening the URL interrupts the sign-in promo, while its view
controller is not fully presented yet.

This patch prevent from the coordinator from dismissing its view
controller before it is fully on the screen.

Fixed: 1126170
Change-Id: I03287c9f830f650c10aa2476d6d693af3783c553
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/2593107
Commit-Queue: Jérôme Lebel <f0ae2b815c4fd879539d7411cba93dd8c792b2f0@chromium.org>
Auto-Submit: Jérôme Lebel <f0ae2b815c4fd879539d7411cba93dd8c792b2f0@chromium.org>
Reviewed-by: Nohemi Fernandez <78d213a83b5bb7229a2a4d3ecc39b60c3473f0a5@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#837147}
",TRUE,FALSE,presented,,,12_may_2021_mp_not_adaptive_commits_batch_1
systemd/systemd,dd0f79523f04ea07575af0cdfc218b16e9010110,"Add new meson configure option for controlling systemd-analyze support

Enables building systemd without systemd-analyze, which in
return saves approx. 4 MB of space upon installing systemd.

Signed-off-by: Jakov Smolic <d7de33b854c7ca8b4c2b996b8e18cb8d82743062@sartura.hr>
Signed-off-by: Luka Perkov <fe6d8aafe911b69ec3eecb89e7941038c0d25a22@sartura.hr>
",TRUE,TRUE,add,,,12_may_2021_mp_not_adaptive_commits_batch_1
chromium/chromium,86891cd21a09c09dbc0907dca1540a5194661b77,"Check for null WebContents in ContentSettingImageView::AnimationEnded.

While location bar user input in progress, GetContentSettingWebContents
will return nullptr, but ContentSettingImageView::AnimationEnded is
still invoked.

Add a check in the latter to make sure we are not checking on a null
WebContent if the promo should be shown.

Bug: 1054074
Change-Id: I261bceb410478360f6af2d84ddf5e01f5c9e6cc3
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/2064968
Reviewed-by: Dana Fried <a17398dafd0dbb668a6a5fb625583979d4773fc4@chromium.org>
Commit-Queue: Balazs Engedy <00c50698141689108ff274ce7dee1b641f70b337@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#743025}
",TRUE,TRUE,"check, add a check",,,12_may_2021_mp_not_adaptive_commits_batch_1
koreader/koreader,592e54aa024a7fbef6b78783ed2231e83291daa3,"Pocketbook: Fix silly rotation bug on PB740 (#6734)

 It detects B288, disables hwrot...
.... and there wasn't the isAlwaysPortrait enabled to serve as an alternative. ",TRUE,FALSE,wasn't enabled,,,12_may_2021_mp_not_adaptive_commits_batch_1
tprrt/linux-stable,eb614d94395293da7beecaa29555acb8966a2796,"arm64: dts: renesas: r8a77990: ebisu: Enable watchdog timer

Add a device node for the Watchdog Timer (WDT) controller on the
R8A77990 SoC, and enable the watchdog on the Ebisu board.

Signed-off-by: Takeshi Kihara <fbc9f9a901acd6ddbdd6b05c7107f20decd72612@renesas.com>
[geert: Squashed 2 commits]
Signed-off-by: Geert Uytterhoeven <a1ff81395f7e6bf5b509fe9aab06bf3419493e1d@glider.be>
Signed-off-by: Simon Horman <9662bddcc379be37df16f02a449c344b4718c1a1@verge.net.au>
",TRUE,TRUE,"add, enable",,,12_may_2021_mp_not_adaptive_commits_batch_1
WoWAnalyzer/WoWAnalyzer,cc7e6c0a5dc92a37f57f8f1d4ca5d0b574b906af,"[Shadowlands][Prepatch][Mage] Base mage changes for Shadowlands

This adds the overall mage changes that are shared across specs, towards #3657

- Added Alter Time, Polymorph Mawrat, and Focus Magic to all mage Spellbooks
- Moved Mirror Images to baseline and updated the mage talents with Focus Magic
- Updated Shimmer's recharge timer to 25 seconds
",TRUE,TRUE,adds,,,12_may_2021_mp_not_adaptive_commits_batch_1
citusdata/citus,399b5738b012675f1c5d729b652d2d24bf19cacd,"Fix Join Problem With VARCHAR Partition Columns

This change fixes the problem with joins with VARCHAR columns. Prior to
this change, when we tried to do large table joins on varchar columns, we got
an error of the form:
ERROR: cannot perform local joins that involve expressions
DETAIL: local joins can be performed between columns only.

This is because we have a check in CheckJoinBetweenColumns() which requires the
join clause to have only 'Var' nodes (i.e. columns). Postgres adds a relabel t
ype cast to cast the varchar to text; hence the type of the node is not T_Var
and the join fails.

The fix involves calling strip_implicit_coercions() to the left and right
arguments so that RELABELTYPE is stripped to VAR.

Fixes #76.
",TRUE,FALSE,this change,,,12_may_2021_mp_not_adaptive_commits_batch_1
gem/oq-engine,5c2f7fd8b4904ab8f2ad7a5d4c66d12bfdde6747,"update doc config copyright string


Former-commit-id: 1a5e9d566e56fa0ab109edd2fc9d9351cb489896 [formerly f490967fadb89e6117af92e4115af11d3042e126]
Former-commit-id: 9237e99f92e3a0eddce697f180e0b4ef4f4274ee",TRUE,FALSE,update doc,,,12_may_2021_mp_not_adaptive_commits_batch_1
openlawlibrary/pygls,dee06cd2695a0d98ef793818f369a01a282d8216,"Dynamically register/unregister client capability (#67)

* Add missing LSP features and types

* Support dynamically (un)registering capabilities

* Extend JSON server example with new features

",TRUE,FALSE,add missing,,,12_may_2021_mp_not_adaptive_commits_batch_1
LMSCloud/Koha-LMSCloud,ac390bd228c6ea7eab7c8b694a378a837f8da464,"Bug 20760: Fill authorised values in svc framework

To test:
 1 - Map a marc field to an authorised value in the default framework -
say 300$c -> CCODE
 2 - Open the advanced cataloguing editor
 3 - Create a new field 300$c - note there is no dropdown
 4 - browse to: /cgi-bin/koha/svc/cataloguing/framework?callback=define
 5 - Note the many instance of
Koha::Schema::ResultSet::AuthorisedValueCategory->HASH...
 6 - Apply patch
 7 - Restart memcached and plack
 8 - reload/recreate record in rancor
 9 - Note that 300$c is now a dropdown as expected
10 - repeate 4
11 - note the authorised values look correct in response

Signed-off-by: Nick Clemens <75ef9faee755c70589550b513ad881e5a603182c@bywatersolutions.com>
Signed-off-by: Martin Renvoize <e328553c8782de72a55cb4ac905938926e626fa1@ptfs-europe.com>

Signed-off-by: Nick Clemens <75ef9faee755c70589550b513ad881e5a603182c@bywatersolutions.com>
Signed-off-by: Martin Renvoize <e328553c8782de72a55cb4ac905938926e626fa1@ptfs-europe.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
CTSRD-CHERI/u-boot,8b0592b89e0f9f81c9e150c81d96f8a43e4d6101,"disable imls command if no flash is defined

Default CONFIG_CMD_IMLS must be disabled when CONFIG_SYS_NO_FLASH is defined

Signed-off-by: Valeriy Glushkov <f66fc2ddb88f0772e0c47c9beb6bb0405137ec53@lstec.com>
",,,,,,12_may_2021_mp_not_adaptive_commits_batch_1
