repo_name,commit,message,Is_Core_Bug,Is_Corrective,Justification,Certain,Comment,Sampling
nwjs/chromium.src,ccfba6716ad0f273bf91d7bf34641b24968f9c78,"Remove ""GLContex: GLContextCGL::SetSwapInterval is ignored"" spam

This message fills up about:gpu and stdout, and doesn't provide any
value.

BUG=

Review URL: https://codereview.chromium.org/645143002

Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#299169}
",TRUE,FALSE,bug=,,,12_may_2021_mp_not_corrective_commits
openstack/oslo.cache,f29cb975123573960b147bca06fc294c72f272b9,"Fix docstring for get_memoization_decorator

The example usage did not match the current signature of the function.

Change-Id: I1c1022d53942ae5f5be36b377a68b4a154381fc1
",TRUE,FALSE,fix docstring,,,12_may_2021_mp_not_corrective_commits
tprrt/linux-stable,426551f6866a369c045c77a16725f41a097fac99,"btrfs: use btrfs_try_granting_tickets in update_global_rsv

We have some annoying xfstests tests that will create a very small fs,
fill it up, delete it, and repeat to make sure everything works right.
This trips btrfs up sometimes because we may commit a transaction to
free space, but most of the free metadata space was being reserved by
the global reserve.  So we commit and update the global reserve, but the
space is simply added to bytes_may_use directly, instead of trying to
add it to existing tickets.  This results in ENOSPC when we really did
have space.  Fix this by calling btrfs_try_granting_tickets once we add
back our excess space to wake any pending tickets.

Reviewed-by: Nikolay Borisov <142453373c3b88d8ff81b1a9e73f7ad113f58c91@suse.com>
Signed-off-by: Josef Bacik <78b342861d821967b29f951b7366f5a0267e0c38@toxicpanda.com>
Signed-off-by: David Sterba <a2ce9d316ca04d17b520237d2846a218b8284e52@suse.com>
",TRUE,FALSE,future fix: fix this once,,,12_may_2021_mp_not_corrective_commits
Unity-Technologies/ml-agents,000e9e264d096fd26cb60612cea3087e8e480323,"New Crawler Variable Speed Scenes (#4382)

* init

* updating prefabs

* spawn a target

* add brains

* update static prefabs

* enable enhanced determinism

* reset manifest

* add nn files. update to 15M steps

* update prefabs

* increase max speed to 15

* add new local model for 15 speed

* update prefabs

* add configs

* update configs/prefabs

* cleanup

* added final nn models

* add new demos and do more cleanup.

* add meta files

* add RigidbodySensor

* update prefab. about to retrain

* remove body pen

* add fixed crawler & retrained nn file, new demos

* train 10M steps

* Update Crawler Docs

* more prefab cleanup

* add meta files

* Update Project/Assets/ML-Agents/Examples/Crawler/Scripts/CrawlerAgent.cs

Co-authored-by: Vincent-Pierre BERGES <c731d9d4a58ab27ca8dd149a26237e38d6fd7469@unity3d.com>

* remove unused prefab

* update comment

* add summary tags

* cleanup and add more comments

* remove unused prefab

* Update Project/Assets/ML-Agents/Examples/Crawler/Scripts/CrawlerAgent.cs

Co-authored-by: Vincent-Pierre BERGES <c731d9d4a58ab27ca8dd149a26237e38d6fd7469@unity3d.com>

* update nnmodel property names, restructure initialization

* fix pre-format

* update comment

* update format

* remove NaN checks

Co-authored-by: Vincent-Pierre BERGES <c731d9d4a58ab27ca8dd149a26237e38d6fd7469@unity3d.com>",TRUE,FALSE,add fixed crawler,,,12_may_2021_mp_not_corrective_commits
CenterForOpenScience/osf.io,db36ea1ae3b242973a974ec02379c1293b93e75d,"Do not modify commented_files in check_file_exists

When getting the file count, node.commented_files
gets iterated over but if one of those files does
not exist an error would get thrown because it
would get removed from node.commented_files
during iteration.

Remove file ids from node.commented_files
outside of that function.
",TRUE,TRUE,"""an error would get thrown"" - an error?",FALSE,,12_may_2021_mp_not_corrective_commits
apache/uima-uimaj,9d614a89db43d4f858f585543d009fd272874d6a,"[UIMA-5842] fixed JavaDoc comment


git-svn-id: d56ff9e7d7ea0b208561738885f328c1a8397aa6@1836669 13f79535-47bb-0310-9956-ffa450edef68
",TRUE,FALSE,fixed JavaDoc,,,12_may_2021_mp_not_corrective_commits
OpenGamePanel/OGP-Website,49f02b5b20bc1a6c103889418970e083fc086222,"Fix Selecting Expiration Date

The call to `updateExpirationDate()` was returning false as it did not
match the correct format for the regex pattern.

Additionally, added two missing language translations.

Fixes: http://www.opengamepanel.org/forum/viewthread.php?thread_id=5467
",TRUE,TRUE,Fix,,,12_may_2021_mp_not_corrective_commits
sillsdev/libpalaso,63b4dd347cc2265ce7b78444cc9664c641f85d85,"Optionally allow copying text from BetterLabel

* Useful for copying things like error messages.
* Remove Mono ControlStyles that were not doing anything.
",TRUE,FALSE,error message,,,12_may_2021_mp_not_corrective_commits
tytso/xfstests-bld,ae585aef48f13fca1c6a75e131dd8ff91f2ab896,"xfstests-bld: fix typo in command to download root_fs.img

Signed-off-by: Eric Biggers <6f6115196800bbe9712b3f04c7e40093bb382fc5@google.com>
Signed-off-by: Theodore Ts'o <4ed386e0495d3e109932df055831d9ec2f824927@mit.edu>
",TRUE,FALSE,fix typo,,,12_may_2021_mp_not_corrective_commits
openstack/tempest,4f4834e63bee8d4626c6a9e82baea2669b68933a,"Fixing a typo in ""TODO"" message

In addition the ""TODO"" message was slightly formated.

Change-Id: Id8bff0717522840920fb858e5a184f431053ab21
",TRUE,FALSE,fixing a typo,,,12_may_2021_mp_not_corrective_commits
