repo_name,commit,subject,message_without_subject,Is_Summary,Is_Generic,Comment,Certain,Sampling,Labler,,,,,,Is_Summary,Is_Generic,Comment,Certain,Sampling,Labler
nwjs/chromium.src,5217d955a5cbec305148b080b4a121cbd06ff49b,Don't dereference null VisiblePosition in CompositeEditCommand::moveParagraphContentsToNewBlockIfNecessary,"

This patch changes CompositeEditCommand::moveParagraphContentsToNewBlockIfNecessary
to check whether VisiblePosition is null or not before dereferencing it.

BUG=371139
TEST=LayoutTests/editing/execCommand/justify-right-crash.html

Review URL: https://codereview.chromium.org/296973002

git-svn-id: bf5cd6ccde378db821296732a091cfbcf5285fbd@174828 bbb929c8-8fbe-4397-9dbb-9b2b20218538
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,dereference prevented,TRUE,comsum_random_batch_9_july_2021,Idan
advancedtelematic/aktualizr,7ac398bb041948bed5a5e132889f6f83f62a5021,aktualizr-lite: Handle offline repo server properly,"

If a repo server is offline, we'll need to ensure we've loaded the
local data before trying to iterate the targets. If that fails, we
can't safely continue.

Signed-off-by: Andy Doan <e3579b1e47f273529f0f929453e939a68ede9fd1@foundries.io>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,offline server handling,TRUE,comsum_random_batch_9_july_2021,Idan
tprrt/linux-stable,3674a87ebe73be57fe412b8906b0004c6372bac4,staging: comedi: me4000: rename local variables used for 'dev->private',"

In comedi drivers the local variable used for the dev->private pointer is
normally named 'devpriv'. For aesthetics, rename the variables in this
driver. Also, rename the struct to follow the norm.

Signed-off-by: H Hartley Sweeten <382ff55d8e07d1082d179e669636cd1552da4f36@visionengravers.com>
Reviewed-by: Ian Abbott <9e6ba6483b6a3e14d61f7c987e72ecb5b46122d6@mev.co.uk>
Signed-off-by: Greg Kroah-Hartman <4645f7897fd33786a2ee1264d590b3c400559d85@linuxfoundation.org>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,rename in component,TRUE,comsum_random_batch_9_july_2021,Idan
uken/fluent-plugin-elasticsearch,fc8737f80dfc483f33cc9d9e9c4c6a64ec43ef49,Tidy up index_name and deflector_alias,"

* Index rollover feature with deflector_alias should be keep backward
  compatibility
* In ILM feature without logstash_format, users want to set up rollover
  indices are point to index_name.
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,index changes,TRUE,comsum_random_batch_9_july_2021,Idan
GoldenCheetah/GoldenCheetah,c09039c7e9d5b40d6265fc286fee42e7f4f5700b,add RideMetric::precision,"

...which specifies how many digits after the decimal we should show when
displaying the value of a RideMetric.
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,...which,TRUE,comsum_random_batch_9_july_2021,Idan
chromium/chromium,50ada85812a81efc8b3589ea3fcdfdc375b6df13,Clean up FontMatchingMetrics::PublishIdentifiabilityMetrics(),"

Converts FontMatchingMetrics::PublishIdentifiabilityMetrics() from using
the IdentifiabilityDigestHelper to using IdentifiableTokens. Also adds
IdentifiableSurface::FromTypeAndToken() to enable use of a Token as the
input digest. Finally, reuses the IdentifiabilityMetricBuilder to
improve performance.

Bug: 1102934
Change-Id: I9b05581f56bfd1205db0086e46cbd5a54e013ca5
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/2321776
Reviewed-by: Asanka Herath <06503cd712d62538eecda072a299b88d58e9811c@chromium.org>
Reviewed-by: Florin Malita <a8262bf13ea8c26821e91ea9bca6740a77c96dcd@chromium.org>
Commit-Queue: Alex Turner <8887796edd5be8ea631a049fb044ebcdcedef00d@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#797447}
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,goal/mean clean up by convet,TRUE,comsum_random_batch_9_july_2021,Idan
Netflix-Skunkworks/iep-apps,cbbc759289387d655ded103fdaff7caa0875057e,enable CI build for jdk11,"

Drops jdk10 and enables jdk11 build. Also changes the jdk8
build to use openjdk8 instead of oraclejdk8.
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,enable,TRUE,comsum_random_batch_9_july_2021,Idan
tprrt/linux-stable,31aa8fd6fd30b0f36416df7d09619768d26b4332,ARM: Add caller information to ioremap,"

This allows the procfs vmallocinfo file to show who created the ioremap
regions.  Note: __builtin_return_address(0) doesn't do what's expected
if its used in an inline function, so we leave __arm_ioremap callers
in such places alone.

Signed-off-by: Russell King <f6aa0246ff943bfa8602cdf60d40c481b38ed232@arm.linux.org.uk>
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/reason,TRUE,comsum_random_batch_9_july_2021,Idan
couchbase/ns_server,1f65e129a58e62cefefd6125dfda4eef4b3f1dc5,don't crash terse_bucket_info_uploader on missing bucket,"

Change-Id: I238bb373644798ba052b05099df7998a2cd22fd3
Reviewed-on: http://review.couchbase.org/42360
Tested-by: Aliaksey Kandratsenka <340b8e09ca65cd3fc686427fcfed17e87eaf61e2@gmail.com>
Reviewed-by: Aliaksey Artamonau <3c875bcfb3adf2a65b2ae7686ca921e6c9433147@gmail.com>
",FALSE,FALSE,,,,Leshem,,,,,,FALSE,FALSE,Administrative message,TRUE,comsum_random_batch_9_july_2021,
chromium/chromium,391eaa4e253fcbf590384087149eb93015accb65,[sync] Refactor search engines' integration tests,"

This patch migrates the helper libraries to avoid using the concept of
a 'seed', which was hard to grasp, and instead migrates tests to more
directly use keywords.

Change-Id: Ibcdae092baade651daca059850ac31f276f47564
Bug: None
Reviewed-on: https://chromium-review.googlesource.com/c/chromium/src/+/2495461
Reviewed-by: Maksim Moskvitin <97fd004f1447e65289374bd3403cef807c828994@google.com>
Commit-Queue: Mikel Astiz <18861512e85f70b4c630f45341dbd3f51bd93430@chromium.org>
Cr-Commit-Position: 972c6d2dc6dd5efdad1377c0d224e03eb8f276f7@{#821819}
",TRUE,FALSE,,,,Leshem,,,,,,TRUE,FALSE,change/details,TRUE,comsum_random_batch_9_july_2021,Idan
